ts,value,topic_id
2016-05-10T16:31:49.760Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:32:49.761Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:33:49.760Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:34:49.760Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:35:49.760Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:36:49.761Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:37:49.768Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:38:49.761Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:39:49.767Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:40:49.767Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:41:49.761Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:42:49.761Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:43:49.765Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:44:49.760Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:45:49.762Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:46:49.761Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:47:49.766Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:48:49.761Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:49:49.765Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:50:49.761Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:51:49.760Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:52:49.763Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:56:10.761Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:57:10.768Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:58:10.759Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T16:59:10.769Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:00:10.760Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:01:10.760Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:02:10.764Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:03:10.760Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:04:10.763Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:05:10.766Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:06:10.768Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:07:10.760Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:08:10.762Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:09:10.761Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:10:10.766Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:11:10.760Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:12:10.762Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:13:10.761Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:14:10.768Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:15:10.760Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:16:10.760Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:17:10.760Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:18:10.760Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:19:10.762Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:20:10.768Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:21:10.761Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:22:10.761Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:23:10.762Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:24:10.761Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:25:10.766Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:26:10.768Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:27:10.768Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:28:10.760Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:29:10.763Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:30:10.761Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:31:10.765Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:32:10.762Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:33:10.761Z,1,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:34:10.767Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:35:10.760Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:36:10.768Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:37:10.768Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:38:10.760Z,0,ObjectId(57320cfac56e527fa7b44dca)
2016-05-10T17:39:10.766Z,0,ObjectId(57320cfac56e
